TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	97/10/31
TIME	20:58:40
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-550, Rev. 1.00
RESOLUTION	
DELTAX	0.5
XUNITS	SEC
YUNITS	ABSORBANCE
FIRSTX	0.0000
LASTX	400.0000
NPOINTS	801
FIRSTY	0.00004
MAXY	0.49454
MINY	-0.00012
XYDATA
0.0000	4E-05
0.5000	-4E-05
1.0000	3E-05
1.5000	6E-05
2.0000	5E-05
2.5000	1E-05
3.0000	-8E-05
3.5000	-3E-05
4.0000	0
4.5000	1E-05
5.0000	-2E-05
5.5000	-1.2E-04
6.0000	-1E-05
6.5000	0
7.0000	-4E-05
7.5000	5E-05
8.0000	2E-05
8.5000	-5E-05
9.0000	-6E-05
9.5000	-4E-05
10.0000	-2E-05
10.5000	-2E-05
11.0000	0.01333
11.5000	0.0512
12.0000	0.09864
12.5000	0.13957
13.0000	0.17975
13.5000	0.21586
14.0000	0.24678
14.5000	0.27737
15.0000	0.30532
15.5000	0.32929
16.0000	0.35283
16.5000	0.37436
17.0000	0.39305
17.5000	0.41165
18.0000	0.4287
18.5000	0.44362
19.0000	0.45791
19.5000	0.47018
20.0000	0.48276
20.5000	0.4941
21.0000	0.49454
21.5000	0.47917
22.0000	0.45735
22.5000	0.4371
23.0000	0.41653
23.5000	0.39704
24.0000	0.37949
24.5000	0.36176
25.0000	0.34496
25.5000	0.32993
26.0000	0.3148
26.5000	0.30128
27.0000	0.28763
27.5000	0.27461
28.0000	0.26297
28.5000	0.25126
29.0000	0.24004
29.5000	0.23004
30.0000	0.21982
30.5000	0.21025
31.0000	0.20175
31.5000	0.19298
32.0000	0.1847
32.5000	0.17739
33.0000	0.16998
33.5000	0.16286
34.0000	0.15651
34.5000	0.15014
35.0000	0.14448
35.5000	0.13869
36.0000	0.13332
36.5000	0.12838
37.0000	0.12339
37.5000	0.11877
38.0000	0.11441
38.5000	0.11006
39.0000	0.10606
39.5000	0.10236
40.0000	0.0988
40.5000	0.09548
41.0000	0.09228
41.5000	0.08918
42.0000	0.08647
42.5000	0.08355
43.0000	0.08092
43.5000	0.0787
44.0000	0.07619
44.5000	0.07372
45.0000	0.07165
45.5000	0.06964
46.0000	0.06772
46.5000	0.06601
47.0000	0.06429
47.5000	0.06248
48.0000	0.06099
48.5000	0.05947
49.0000	0.05802
49.5000	0.05673
50.0000	0.0554
50.5000	0.05419
51.0000	0.05311
51.5000	0.05202
52.0000	0.0509
52.5000	0.04986
53.0000	0.04899
53.5000	0.04817
54.0000	0.04717
54.5000	0.04634
55.0000	0.04567
55.5000	0.04483
56.0000	0.04398
56.5000	0.04339
57.0000	0.04289
57.5000	0.04231
58.0000	0.0417
58.5000	0.04121
59.0000	0.04071
59.5000	0.04021
60.0000	0.03977
60.5000	0.03925
61.0000	0.0389
61.5000	0.03853
62.0000	0.03816
62.5000	0.03786
63.0000	0.03743
63.5000	0.03706
64.0000	0.03682
64.5000	0.03664
65.0000	0.03639
65.5000	0.03602
66.0000	0.03578
66.5000	0.03555
67.0000	0.03517
67.5000	0.03496
68.0000	0.03496
68.5000	0.03483
69.0000	0.0346
69.5000	0.03441
70.0000	0.03414
70.5000	0.034
71.0000	0.03383
71.5000	0.03367
72.0000	0.03354
72.5000	0.0334
73.0000	0.03325
73.5000	0.03314
74.0000	0.03316
74.5000	0.03304
75.0000	0.03285
75.5000	0.03282
76.0000	0.03282
76.5000	0.03263
77.0000	0.03249
77.5000	0.03244
78.0000	0.0324
78.5000	0.0324
79.0000	0.03236
79.5000	0.03228
80.0000	0.03221
80.5000	0.03217
81.0000	0.03203
81.5000	0.032
82.0000	0.03204
82.5000	0.03197
83.0000	0.03192
83.5000	0.03187
84.0000	0.03189
84.5000	0.0318
85.0000	0.03171
85.5000	0.03167
86.0000	0.03164
86.5000	0.03171
87.0000	0.03164
87.5000	0.03152
88.0000	0.03157
88.5000	0.03156
89.0000	0.03147
89.5000	0.0314
90.0000	0.03141
90.5000	0.03137
91.0000	0.03141
91.5000	0.03137
92.0000	0.03131
92.5000	0.03147
93.0000	0.03156
